都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
303046,1,和歌山県,紀美野町,きみのこども園,キミノコドモエン,認定こども園（保育所型）,和歌山県海草郡紀美野町動木156,,34.16482,135.30629,JR海南駅から車で25分,駐車スペース23台・身障者用駐車場1台,(073)489-2144,,(073)489-2171,,紀美野町,平成27年4月1日,150名,6ヶ月から,月火水木金土,7:00,19:00,土17:00まで,有,,
303046,2,和歌山県,紀美野町,こうのこども園,コウノコドモエン,認定こども園（保育所型）,和歌山県海草郡紀美野町神野市場216,,34.15019,135.3522,JR海南駅から車で45分,駐車スペース20台・身障者用駐車場1台,(073)495-2049,,(073)495-2049,,紀美野町,令和2年4月1日,60名,1歳から,月火水木金,7:00,19:00,土17:00まで,有,,
303046,3,和歌山県,紀美野町,野上学童保育所,ノカミガクドウホイクショ,,和歌山県海草郡紀美野町動木1445,,34.1640539,135.3070066,JR海南駅から車で25分,無し,(073)489-5909,,(073)489-2510,,紀美野町,平成19年4月1日,100名,６歳（小学1年生から）,月火水木金,学校終業時,18:00,,,,小学校の長期休業期間　8:00～18:00
303046,4,和歌山県,紀美野町,下神野学童保育所,シモコウノガクドウホイクショ,,和歌山県海草郡紀美野町神野市場217,,34.1514984,135.3536707,JR海南駅から車で45分,駐車スペース50台程度,(073)489-5909,,(073)489-2510,,紀美野町,平成20年4月1日,50名,６歳（小学1年生から）,月火水木金,学校終業時,18:00,,,,小学校の長期休業期間　8:00～18:00
303046,5,和歌山県,紀美野町,中央児童館,チュウオウジドウカン,,和歌山県海草郡紀美野町下佐々173,,34.1579294,135.3121397,JR海南駅から車で30分,無し,(073)489-5909,,(073)489-2510,,紀美野町,昭和60年4月1日,制限なし,18歳未満のすべての子ども,月火水木金土,14:00,17:00,,,,
303046,6,和歌山県,紀美野町,吉見児童館,ヨシミジドウカン,,和歌山県海草郡紀美野町下佐々1752－2,,34.1567552,135.3064814,JR海南駅から車で30分,無し,(073)489-5909,,(073)489-2510,,紀美野町,昭和53年4月1日,制限なし,18歳未満のすべての子ども,水土,14:00,17:00,,,,
