都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
303046,1,和歌山県,紀美野町,小川宮前公衆便所,オガワミヤコウシュウベンジョ,,和歌山県紀美野町奥佐々21-2,,小川八幡神社西側,34.1326989,135.3262281,2,2,,,,,,2,1,1,0,無,無,無,0:00,0:00,,,,
303046,2,和歌山県,紀美野町,十三神社公衆便所,ジュウサンジンジャコウシュウベンジョ,,和歌山県紀美野町野中63-1,,十三神社東側,34.146809,135.351638,1,1,,,,,,2,2,,0,無,無,無,0:00,0:00,,,,
303046,3,和歌山県,紀美野町,今西公衆便所,イマニシコウシュウベンジョ,,和歌山県紀美野町今西327-3,,今西橋北側,34.132368,135.40423,,,,,,,,1,,1,0,無,無,無,0:00,0:00,,,,
303046,4,和歌山県,紀美野町,小西公衆便所,コニシコウシュウベンジョ,,和歌山県紀美野町小西168-1,,国道370号沿い,34.1502558,135.4501096,1,1,,,,,,,,,1,有,有,有,0:00,0:00,,,,
303046,5,和歌山県,紀美野町,毛原公衆便所,ケバラコウシュウベンジョ,,和歌山県紀美野町毛原宮222,,長谷毛原中学校正門前,34.16013,135.461433,2,1,1,,1,1,,,,,1,有,無,無,0:00,0:00,,,,
303046,6,和歌山県,紀美野町,毛原上公衆便所,ケバラカミコウシュウベンジョ,,和歌山県紀美野町毛原上408-2,,毛原上のつり橋下,34.167135,135.466562,2,2,,,,,,2,2,,0,無,無,無,0:00,0:00,,,,
303046,7,和歌山県,紀美野町,長谷宮公衆便所,ハセミヤコウシュウベンジョ,,和歌山県紀美野町長谷宮146-3,,旧長谷小学校より北へ約150m,34.180516,135.479432,3,3,,,,,,2,2,,0,無,無,無,0:00,0:00,,,,
303046,8,和歌山県,紀美野町,長谷公衆便所,ハセコウシュウベンジョ,,和歌山県紀美野町長谷宮664,,泉福寺への階段下,34.187005,135.492622,3,3,,,,,,2,2,,0,無,無,無,0:00,0:00,,,,
303046,9,和歌山県,紀美野町,真国公衆便所,マクニコウシュウベンジョ,,和歌山県紀美野町真国宮322,,真国区民センター内,34.1694866,135.3746999,4,3,1,,3,2,1,,,,1,有,無,無,0:00,0:00,,,,
